// Duolingo
准备[準備]	zhun3bei4	verb 1 prepare; get ready 2 intend; plan
输[輸]	shu1	verb 1 transport; convey 2 literary contribute money; donate  verb lose; beaten; defeated (opp. 赢)
赢[贏]	ying2	verb 1 win; beat (opp. 输) 2 gain (profit)
输赢[輸贏]	shu1ying2	1 win or loss 2 outcome
赛[賽]	sai4	noun match; game; competition; contest  verb 1 have a competition 2 be comparable to; surpass
排[排]	pai2	noun 1 row; line 2 military platoon 3 abbreviation volleyball  verb 1 arrange; put in order; line up 2 rehearse  measure word row; line  noun raft  verb 1 exclude; eject; discharge 2 discriminate against 3 literary push  noun steak; chop; griskin; short rib
练[練]	lian4	verb 1 boil and scour raw silk 2 practise; train; drill 3 dialect compete (with one another)  adjective experienced; skilled; seasoned  noun 1 white silk 2 (Liàn) a surname
篮球[籃球]	lan2qiu2	noun basketball
单[單]	dan1	adjective 1 single (opp. 双) 2 odd (opp. 双) 3 single; solitary 4 simple 5 thin; weak 6 unlined (clothing)  adverb only; alone  noun 1 sheet 2 bill; list
笑[笑]	xiao4	verb 1 smile; laugh 2 ridicule; laugh at
着[著]	zhe5	auxiliary 1 [added to a verb or adjective to indicate a continued action or state, often with the particle 呢 at the end of the sentence] 2 [in sentences beginning with a place word, added to the verb to indicate a resultant state, the verb plus 着 having the force of “there is”] 3 [verb plus 着 placed before another verb, indicating an accompanying action or state] a [verb plus 着 serving as an adverbial modifier] b [verb plus 着 repeated, indicating that while one action is in progress another is expected] 4 [in imperative sentences, used after verbs or adjectives for emphasis, often with 点儿 added] 5 [in forming a preposition]
油条[油條]	you2tiao2	1 youtiao (deep-fried breadstick) M: 根gēn [根] 2 slick and sly person
姨[姨]	yi2	noun 1 mother's sister; maternal aunt; aunty 2 wife's sister; sister-in-law
阿[阿]	a1	1 prefix used before monosyllabic names, kinship terms etc to indicate familiarity 2 used in transliteration 3 also pr. [à]
粥[粥]	zhou1	noun gruel (made of rice, millet, etc.); porridge; congee
妹[妹]	mei4	younger sister
条[條]	tiao2	noun 1 twig 2 long narrow piece; strip; slip 3 brief informal note 4 item; article 5 order  measure word 1 [for long, or narrow, or thin objects] 2 [for certain nouns]
系[係]	xi4	1 to connect 2 to relate to 3 to tie up 4 to bind 5 to be (literary)
关[關]	guan1	noun 1 mountain pass; guarded passage 2 custom(s) house 3 area just outside a city gate 4 barrier; critical juncture 5 key part; crucial part; key factor 6 connection 7 (Guān) a surname  verb 1 shut; close 2 turn off 3 shut in; lock up; confine 4 (of a business) close down 5 concern; involve 6 dated give out (or draw) (pay)
关系[關係]	guan1xi5	noun 1 connections; relations; relationship 2 [often used correlatively with 没有, 有] relevance; bearing; influence; significance 3 [usu. with 由于 or 因为 to indicate cause or reason] 4 credentials showing membership in or affiliation with an organization 5 euphemistic (extramarital) sexual relations  verb concern; affect; have a bearing on; have to do with
亲戚[親戚]	qin1qi5	noun relative
课[課]	ke4	noun 1 class 2 subject; course 3 lesson 4 dated division or subdivision of certain administrative units; section  noun dated tax  verb literary levy; collect tax; impose  noun dated a kind of divination; fortune-telling
孩[孩]	hai2	(bound form) child
教[教]	jiao4	verb teach; instruct  noun religion  VARIANT OF 24030464叫jiao4叫2 verb 1 ask; order; tell 2 permit; allow  preposition [in a passive sentence to introduce the doer of the action]
叔[叔]	shu1	1 uncle 2 father's younger brother 3 husband's younger brother 4 Taiwan pr. [shú]
笼[籠]	long2	1 enclosing frame made of bamboo, wire etc; cage; basket 2 steamer basket
锅[鍋]	guo1	noun 1 pot; pan; boiler; cauldron 2 bowl (of a pipe, etc.)
浆[漿]	jiang1	1 thick liquid 2 to starch
等[等]	deng3	noun 1 class; grade; rank 2 kind; sort  verb wait; await  adjective equal; equivalent  preposition when; till  auxiliary 1 literary [after a personal pronoun or name to show plurality] 2 and so on; and so forth; etc. 3 [indicating the end of an enumeration]
游戏[遊戲]	you2xi4	noun recreation; game  verb play
肚子[肚子]	du3zi5	noun tripe
疼[疼]	teng2	adjective ache; have a pain; be sore  verb love dearly; be fond of; dote on; care about
药[葯]	yao4	1 leaf of the iris 2 variant of 药yào [药]
病[病]	bing4	noun 1 disease; illness; sickness 2 malady; evil ills 3 fault; defect  verb 1 fall ill; be sick 2 literary do harm to; injure 3 literary distress; disapproval
报[報]	bao4	verb 1 report; announce; declare 2 reply; respond; reciprocate 3 recompense; requite 4 revenge  noun 1 newspaper 2 periodical; journal 3 bulletin; report 4 telegram; cable 5 retribution; judgment
纸[紙]	zhi3	noun paper  measure word literary [for letters, documents, etc.]
随[隨]	sui2	verb 1 follow; come (or go) along with 2 comply with; adapt to 3 let (sb. do as he likes) 4 dialect look like; resemble  preposition along with (some other action)  noun (Suí) a surname
便[便]	bian4	noun 1 urine or excrement; piss or shit 2 convenient situation or time  verb relieve oneself  adjective 1 convenient; handy 2 literary plain; ordinary  [like 就 but more formal] adverb 1 soon afterwards 2 in that case; then  conjunction even if
季[季]	ji4	noun 1 season 2 the yield of a product in one season; crop 3 last month of a season 4 fourth or youngest among brothers 5 period of time; season 6 last period of (a dynasty) 7 (Jì) a surname
节[節]	jie2	noun 1 joint; node; knot 2 division; part 3 festival; red-letter day; holiday 4 item 5 moral integrity; chastity  verb 1 abridge 2 economize; save; conserve  measure word section; length  measure word aerospace knot (kn)
季节[季節]	ji4jie2	noun season
秋天[秋天]	qiu1tian1	noun autumn (UK); fall (US)
夏天[夏天]	xia4tian1	noun summer
冬[冬]	dong1	winter
间[間]	jian1	noun 1 space in between; between; among 2 (within a) definite time or space 3 room  measure word 1 [for rooms] 2 [for room space] a section of a room or the lateral space between two pairs of pillars
右[右]	you4	noun 1 right (side) 2 dated west 3 right side as the side of precedence  adjective conservative; reactionary; the Right  verb literary 1 favour; uphold; advocate 2 VARIANT OF 35136512佑you4佑 help; protect; bless
虽然[雖然]	sui1ran2	conjunction [often correlatively with 但是, 可是,etc.] though; although
